date,cp
2010/1/4,3535.229
2010/1/5,3564.038
2010/1/6,3541.727
2010/1/7,3471.456
2010/1/8,3480.13
2010/1/11,3482.052
2010/1/12,3534.916
2010/1/13,3421.144
2010/1/14,3469.051
2010/1/15,3482.738
2010/1/18,3500.684
2010/1/19,3507.482
2010/1/20,3394.434
2010/1/21,3408.574
2010/1/22,3366.197
2010/1/25,3328.014
2010/1/26,3242.797
2010/1/27,3198.566
2010/1/28,3206.57
2010/1/29,3204.155
2010/2/1,3152.707
2010/2/2,3146.189
2010/2/3,3230.715
2010/2/4,3218.802
2010/2/5,3153.087
2010/2/8,3150.988
2010/2/9,3169.19
2010/2/10,3214.13
2010/2/11,3220.398
2010/2/12,3251.278
2010/2/22,3233.345
2010/2/23,3198.634
2010/2/24,3244.483
2010/2/25,3292.128
2010/2/26,3281.666
2010/3/1,3324.423
2010/3/2,3311.236
2010/3/3,3335.081
2010/3/4,3250.573
2010/3/5,3259.764
2010/3/8,3286.178
2010/3/9,3305.863
2010/3/10,3279.694
2010/3/11,3276.705
2010/3/12,3233.126
2010/3/15,3183.183
2010/3/16,3203.971
2010/3/17,3273.916
2010/3/18,3267.555
2010/3/19,3293.871
2010/3/22,3302.628
2010/3/23,3275.573
2010/3/24,3276.669
2010/3/25,3229.128
2010/3/26,3275.002
2010/3/29,3358.54
2010/3/30,3366.708
2010/3/31,3345.607
2010/4/1,3391.935
2010/4/2,3407.346
2010/4/6,3405.145
2010/4/7,3386.949
2010/4/8,3346.744
2010/4/9,3379.17
2010/4/12,3351.478
2010/4/13,3391.716
2010/4/14,3403.707
2010/4/15,3394.574
2010/4/16,3356.332
2010/4/19,3176.423
2010/4/20,3173.374
2010/4/21,3236.679
2010/4/22,3201.541
2010/4/23,3190.003
2010/4/26,3171.997
2010/4/27,3108.409
2010/4/28,3097.353
2010/4/29,3060.064
2010/4/30,3067.365
2010/5/4,3019.449
2010/5/5,3036.394
2010/5/6,2896.856
2010/5/7,2836.789
2010/5/10,2858.233
2010/5/11,2800.817
2010/5/12,2818.16
2010/5/13,2886.911
2010/5/14,2868.023
2010/5/17,2714.715
2010/5/18,2771.348
2010/5/19,2762.174
2010/5/20,2726.022
2010/5/21,2768.791
2010/5/24,2873.469
2010/5/25,2813.943
2010/5/26,2813.944
2010/5/27,2859.979
2010/5/28,2850.302
2010/5/31,2773.264
2010/6/1,2744.162
2010/6/2,2757.527
2010/6/3,2736.076
2010/6/4,2744.391
2010/6/7,2695.715
2010/6/8,2699.336
2010/6/9,2782.133
2010/6/10,2750.023
2010/6/11,2758.866
2010/6/17,2742.733
2010/6/18,2696.166
2010/6/21,2780.663
2010/6/22,2783.72
2010/6/23,2758.495
2010/6/24,2757.498
2010/6/25,2736.287
2010/6/28,2716.777
2010/6/29,2592.019
2010/6/30,2563.07
2010/7/1,2526.071
2010/7/2,2534.105
2010/7/5,2512.651
2010/7/6,2562.902
2010/7/7,2580.477
2010/7/8,2575.921
2010/7/9,2647.104
2010/7/12,2676.218
2010/7/13,2634.593
2010/7/14,2653.609
2010/7/15,2608.519
2010/7/16,2616.128
2010/7/19,2682.472
2010/7/20,2741.503
2010/7/21,2747.335
2010/7/22,2781.286
2010/7/23,2793.076
2010/7/26,2811.055
2010/7/27,2795.724
2010/7/28,2863.724
2010/7/29,2877.976
2010/7/30,2868.846
2010/8/2,2917.275
2010/8/3,2865.971
2010/8/4,2876.434
2010/8/5,2850.829
2010/8/6,2897.659
2010/8/9,2918.241
2010/8/10,2832.638
2010/8/11,2850.211
2010/8/12,2816.386
2010/8/13,2855.547
2010/8/16,2922.083
2010/8/17,2942.291
2010/8/18,2937.362
2010/8/19,2955.395
2010/8/20,2898.333
2010/8/23,2896.192
2010/8/24,2911.827
2010/8/25,2843.023
2010/8/26,2850.093
2010/8/27,2858.566
2010/8/30,2915.01
2010/8/31,2903.188
2010/9/1,2884.042
2010/9/2,2921.393
2010/9/3,2920.205
2010/9/6,2975.09
2010/9/7,2983.108
2010/9/8,2980.967
2010/9/9,2926.46
2010/9/10,2932.554
2010/9/13,2962.319
2010/9/14,2965.009
2010/9/15,2913.194
2010/9/16,2857.789
2010/9/17,2861.369
2010/9/20,2849.828
2010/9/21,2857.476
2010/9/27,2905.029
2010/9/28,2880.907
2010/9/29,2874.812
2010/9/30,2935.574
2010/10/8,3044.233
2010/10/11,3132.895
2010/10/12,3172.726
2010/10/13,3217.577
2010/10/14,3224.14
2010/10/15,3327.683
2010/10/18,3306.16
2010/10/19,3375.674
2010/10/20,3396.879
2010/10/21,3374.685
2010/10/22,3378.655
2010/10/25,3481.081
2010/10/26,3466.084
2010/10/27,3403.872
2010/10/28,3397.692
2010/10/29,3379.983
2010/11/1,3472.995
2010/11/2,3463.131
2010/11/3,3420.341
2010/11/4,3480.505
2010/11/5,3520.798
2010/11/8,3548.566
2010/11/9,3523.954
2010/11/10,3499.111
2010/11/11,3509.975
2010/11/12,3291.833
2010/11/15,3314.893
2010/11/16,3169.538
2010/11/17,3103.906
2010/11/18,3147.962
2010/11/19,3178.846
2010/11/22,3171.941
2010/11/23,3107.176
2010/11/24,3177.043
2010/11/25,3223.484
2010/11/26,3194.853
2010/11/29,3190.05
2010/11/30,3136.985
2010/12/1,3136.024
2010/12/2,3155.059
2010/12/3,3158.156
2010/12/6,3165.57
2010/12/7,3200.339
2010/12/8,3171.882
2010/12/9,3123.366
2010/12/10,3161.977
2010/12/13,3261.061
2010/12/14,3269.474
2010/12/15,3247.644
2010/12/16,3230.665
2010/12/17,3225.661
2010/12/20,3178.657
2010/12/21,3249.509
2010/12/22,3215.453
2010/12/23,3188.607
2010/12/24,3162.955
2010/12/27,3099.709
2010/12/28,3044.931
2010/12/29,3061.83
2010/12/30,3064.098
2010/12/31,3128.261
2011/1/4,3189.682
2011/1/5,3175.662
2011/1/6,3159.643
2011/1/7,3166.624
2011/1/10,3108.187
2011/1/11,3124.922
2011/1/12,3142.337
2011/1/13,3141.284
2011/1/14,3091.862
2011/1/17,2974.35
2011/1/18,2977.648
2011/1/19,3044.851
2011/1/20,2944.713
2011/1/21,2983.456
2011/1/24,2954.232
2011/1/25,2938.654
2011/1/26,2978.431
2011/1/27,3026.466
2011/1/28,3036.735
2011/1/31,3076.508
2011/2/1,3077.283
2011/2/9,3040.949
2011/2/10,3104.163
2011/2/11,3120.956
2011/2/14,3219.143
2011/2/15,3217.671
2011/2/16,3248.527
2011/2/17,3245.907
2011/2/18,3211.876
2011/2/21,3257.908
2011/2/22,3163.578
2011/2/23,3174.742
2011/2/24,3190.935
2011/2/25,3197.617
2011/2/28,3239.559
2011/3/1,3254.893
2011/3/2,3243.298
2011/3/3,3221.718
2011/3/4,3270.666
2011/3/7,3334.51
2011/3/8,3337.457
2011/3/9,3338.858
2011/3/10,3280.259
2011/3/11,3247.376
2011/3/14,3262.92
2011/3/15,3203.961
2011/3/16,3248.195
2011/3/17,3197.1
2011/3/18,3215.685
2011/3/21,3207.11
2011/3/22,3222.961
2011/3/23,3264.926
2011/3/24,3251.361
2011/3/25,3294.484
2011/3/28,3290.571
2011/3/29,3257.979
2011/3/30,3256.08
2011/3/31,3223.288
2011/4/1,3272.729
2011/4/6,3311.067
2011/4/7,3324.419
2011/4/8,3353.358
2011/4/11,3333.427
2011/4/12,3326.771
2011/4/13,3372.031
2011/4/14,3353.56
2011/4/15,3358.944
2011/4/18,3359.438
2011/4/19,3295.812
2011/4/20,3295.758
2011/4/21,3317.367
2011/4/22,3299.942
2011/4/25,3249.574
2011/4/26,3230.96
2011/4/27,3209.503
2011/4/28,3161.776
2011/4/29,3192.723
2011/5/3,3211.132
2011/5/4,3129.028
2011/5/5,3126.117
2011/5/6,3121.396
2011/5/9,3129.759
2011/5/10,3153.221
2011/5/11,3145.085
2011/5/12,3101.603
2011/5/13,3128.093
2011/5/16,3100.463
2011/5/17,3116.028
2011/5/18,3139.379
2011/5/19,3120.639
2011/5/20,3121.596
2011/5/23,3022.98
2011/5/24,3026.223
2011/5/25,2990.343
2011/5/26,2978.381
2011/5/27,2963.308
2011/5/30,2954.506
2011/5/31,3001.556
2011/6/1,3004.173
2011/6/2,2955.705
2011/6/3,2986.349
2011/6/7,3004.262
2011/6/8,3008.652
2011/6/9,2951.889
2011/6/10,2961.932
2011/6/13,2950.348
2011/6/14,2993.559
2011/6/15,2963.119
2011/6/16,2917.578
2011/6/17,2892.157
2011/6/20,2874.896
2011/6/21,2909.073
2011/6/22,2908.582
2011/6/23,2957.629
2011/6/24,3027.47
2011/6/27,3036.491
2011/6/28,3041.734
2011/6/29,3000.169
2011/6/30,3044.089
2011/7/1,3049.745
2011/7/4,3121.98
2011/7/5,3122.5
2011/7/6,3113.712
2011/7/7,3101.68
2011/7/8,3109.183
2011/7/11,3113.206
2011/7/12,3056.905
2011/7/13,3106.247
2011/7/14,3115.745
2011/7/15,3128.889
2011/7/18,3122.6
2011/7/19,3095.125
2011/7/20,3091.567
2011/7/21,3059.139
2011/7/22,3067.985
2011/7/25,2968.289
2011/7/26,2977.766
2011/7/27,3000.052
2011/7/28,2981.002
2011/7/29,2972.079
2011/8/1,2977.721
2011/8/2,2956.383
2011/8/3,2954.87
2011/8/4,2960.309
2011/8/5,2897.417
2011/8/8,2793.897
2011/8/9,2798.19
2011/8/10,2824.12
2011/8/11,2866.924
2011/8/12,2875.365
2011/8/15,2917.883
2011/8/16,2897.581
2011/8/17,2886.013
2011/8/18,2834.254
2011/8/19,2807.664
2011/8/22,2777.787
2011/8/23,2821.003
2011/8/24,2810.016
2011/8/25,2903.837
2011/8/26,2901.216
2011/8/29,2852.809
2011/8/30,2841.74
2011/8/31,2846.776
2011/9/1,2834.535
2011/9/2,2803.854
2011/9/5,2743.817
2011/9/6,2723.303
2011/9/7,2779.09
2011/9/8,2756.105
2011/9/9,2751.095
2011/9/13,2720.283
2011/9/14,2733.108
2011/9/15,2729.051
2011/9/16,2733.987
2011/9/19,2679.27
2011/9/20,2689.845
2011/9/21,2771.011
2011/9/22,2685.688
2011/9/23,2669.478
2011/9/26,2610.919
2011/9/27,2637.879
2011/9/28,2610.59
2011/9/29,2588.185
2011/9/30,2581.351
2011/10/10,2557.082
2011/10/11,2551.994
2011/10/12,2644.758
2011/10/13,2662.601
2011/10/14,2653.782
2011/10/17,2666.951
2011/10/18,2592.209
2011/10/19,2583.081
2011/10/20,2520.532
2011/10/21,2507.877
2011/10/24,2576.669
2011/10/25,2625.425
2011/10/26,2651.652
2011/10/27,2657.478
2011/10/28,2709.017
2011/10/31,2695.307
2011/11/1,2697.534
2011/11/2,2742.39
2011/11/3,2744.301
2011/11/4,2763.746
2011/11/7,2736.248
2011/11/8,2727.71
2011/11/9,2751.654
2011/11/10,2699.588
2011/11/11,2695.002
2011/11/14,2750.195
2011/11/15,2744.68
2011/11/16,2670.116
2011/11/17,2662.017
2011/11/18,2606.495
2011/11/21,2609.687
2011/11/22,2609.475
2011/11/23,2584.011
2011/11/24,2588.915
2011/11/25,2569.973
2011/11/28,2573.321
2011/11/29,2608.569
2011/11/30,2521.52
2011/12/1,2583.613
2011/12/2,2557.311
2011/12/5,2521.385
2011/12/6,2516.341
2011/12/7,2528.228
2011/12/8,2525.001
2011/12/9,2503.461
2011/12/12,2477.692
2011/12/13,2421.928
2011/12/14,2397.48
2011/12/15,2340.788
2011/12/16,2390.129
2011/12/19,2384.408
2011/12/20,2377.073
2011/12/21,2339.108
2011/12/22,2341.335
2011/12/23,2359.159
2011/12/26,2335.702
2011/12/27,2305.035
2011/12/28,2307.928
2011/12/29,2311.361
2011/12/30,2345.742
2012/1/4,2298.753
2012/1/5,2276.385
2012/1/6,2290.601
2012/1/9,2368.57
2012/1/10,2447.349
2012/1/11,2435.608
2012/1/12,2435.219
2012/1/13,2394.334
2012/1/16,2345.649
2012/1/17,2460.601
2012/1/18,2422.189
2012/1/19,2468.35
2012/1/20,2504.086
2012/1/30,2460.72
2012/1/31,2464.26
2012/2/1,2428.994
2012/2/2,2486.238
2012/2/3,2506.09
2012/2/6,2504.322
2012/2/7,2457.954
2012/2/8,2528.236
2012/2/9,2529.231
2012/2/10,2533.624
2012/2/13,2531.981
2012/2/14,2522.107
2012/2/15,2549.607
2012/2/16,2536.074
2012/2/17,2537.086
2012/2/20,2540.706
2012/2/21,2562.453
2012/2/22,2597.476
2012/2/23,2606.256
2012/2/24,2648.017
2012/2/27,2656.573
2012/2/28,2662.463
2012/2/29,2634.143
2012/3/1,2633.345
2012/3/2,2679.934
2012/3/5,2662.698
2012/3/6,2621.052
2012/3/7,2603.005
2012/3/8,2635.791
2012/3/9,2664.302
2012/3/12,2654.402
2012/3/13,2681.073
2012/3/14,2605.106
2012/3/15,2585.546
2012/3/16,2623.52
2012/3/19,2630.013
2012/3/20,2584.445
2012/3/21,2587.793
2012/3/22,2583.747
2012/3/23,2552.94
2012/3/26,2555.442
2012/3/27,2547.143
2012/3/28,2474.9
2012/3/29,2443.122
2012/3/30,2454.899
2012/4/5,2512.832
2012/4/6,2519.83
2012/4/9,2495.146
2012/4/10,2519.788
2012/4/11,2520.036
2012/4/12,2570.436
2012/4/13,2580.454
2012/4/16,2574.044
2012/4/17,2541.883
2012/4/18,2599.908
2012/4/19,2596.056
2012/4/20,2626.839
2012/4/23,2606.038
2012/4/24,2604.866
2012/4/25,2625.99
2012/4/26,2631.487
2012/4/27,2626.157
2012/5/2,2683.487
2012/5/3,2691.518
2012/5/4,2715.879
2012/5/7,2717.778
2012/5/8,2709.116
2012/5/9,2657.514
2012/5/10,2657.214
2012/5/11,2636.917
2012/5/14,2615.534
2012/5/15,2617.374
2012/5/16,2574.647
2012/5/17,2613.942
2012/5/18,2573.976
2012/5/21,2587.231
2012/5/22,2627.525
2012/5/23,2616.869
2012/5/24,2595.26
2012/5/25,2573.103
2012/5/28,2614.689
2012/5/29,2650.854
2012/5/30,2642.258
2012/5/31,2632.042
2012/6/1,2632.998
2012/6/4,2559.026
2012/6/5,2558.842
2012/6/6,2557.401
2012/6/7,2542.184
2012/6/8,2524.329
2012/6/11,2558.265
2012/6/12,2540.178
2012/6/13,2580.636
2012/6/14,2560.421
2012/6/15,2568.054
2012/6/18,2581.212
2012/6/19,2558.621
2012/6/20,2552.611
2012/6/21,2512.185
2012/6/25,2456.518
2012/6/26,2454.915
2012/6/27,2447.195
2012/6/28,2425.729
2012/6/29,2461.612
2012/7/2,2465.238
2012/7/3,2468.721
2012/7/4,2464.919
2012/7/5,2430.37
